order_id;material_type;quantity;supplier_location;destination_location;order_date;weather_conditions;holiday_season;distance_km;transport_mode;route_type;delivery_time_days
43;Fertigprodukte;571;Kiel;Herne;2023-07-17;Klar;FALSE;366.25;Schiene;domestic_germany;6.8
44;Bauteile;549;Lübeck;Miami;2023-02-20;Klar;FALSE;7777.81;Luft;intercontinental;27.0
45;Bauteile;497;Osaka;Halle (Saale);2023-09-29;Schnee;FALSE;8967.7;Luft;intercontinental;38.9
46;Chemikalien;254;Mexico City;Magdeburg;2023-06-23;Schnee;FALSE;9641.94;Luft;intercontinental;44.8
47;Bauteile;530;New York;Magdeburg;2023-08-20;Sturm;FALSE;6295.23;Luft;intercontinental;33.5
48;Elektronik;496;Brisbane;Osnabrück;2023-07-11;Sturm;FALSE;16016.28;Luft;intercontinental;70.1
49;Bauteile;439;Münster;Oberhausen;2023-05-24;Regnerisch;FALSE;75.86;Straße;domestic_germany;3.6
50;Fertigprodukte;985;Hamburg;Miami;2023-06-30;Nebel;FALSE;7743.89;Luft;intercontinental;30.6
51;Fertigprodukte;560;Sydney;New York;2023-06-11;Klar;FALSE;15988.76;Luft;intercontinental;50.9
52;Rohstoffe;64;Rio de Janeiro;Marseille;2023-11-17;Sturm;FALSE;8874.34;See;intercontinental;179.4
53;Chemikalien;609;Kassel;Gelsenkirchen;2023-12-20;Regnerisch;FALSE;167.39;Straße;domestic_germany;2.4
54;Rohstoffe;308;Beijing;Tokyo;2023-10-02;Nebel;FALSE;2089.39;Luft;intercontinental;12.4
55;Bauteile;420;Saarbrücken;Sao Paulo;2023-05-21;Nebel;FALSE;9674.05;Luft;intercontinental;38.9
56;Fertigprodukte;831;Duisburg;Sydney;2023-03-04;Klar;FALSE;16564.22;Luft;intercontinental;46.9
57;Chemikalien;691;Hagen;London;2023-04-10;Sturm;FALSE;526.66;Luft;intra_european;3.2
58;Bauteile;243;Gelsenkirchen;Sao Paulo;2023-05-08;Regnerisch;FALSE;9850.29;Luft;intercontinental;30.8
59;Bauteile;64;Guangzhou;Herne;2023-08-30;Schnee;FALSE;9051.69;Luft;intercontinental;47.5
60;Bauteile;822;Rio de Janeiro;Osaka;2023-09-16;Sturm;TRUE;18698.14;Luft;intercontinental;98.6
61;Rohstoffe;409;Heidelberg;Osaka;2023-03-14;Nebel;FALSE;9294.67;Luft;intercontinental;36.3
62;Chemikalien;621;Melbourne;Magdeburg;2023-01-06;Regnerisch;FALSE;16097.27;Luft;intercontinental;45.8
63;Elektronik;621;Darmstadt;Gelsenkirchen;2023-12-13;Sturm;FALSE;212.95;Straße;domestic_germany;2.0
64;Rohstoffe;718;New York;Halle (Saale);2023-09-20;Klar;FALSE;6346.91;Luft;intercontinental;22.1
65;Bauteile;580;Shanghai;Frankfurt;2023-09-08;Schnee;FALSE;8819.52;Luft;intercontinental;44.1
66;Chemikalien;888;Hagen;Manchester;2023-08-23;Sturm;FALSE;698.89;Luft;intra_european;1.5
67;Chemikalien;40;Lübeck;Manchester;2023-05-11;Nebel;FALSE;851.54;Schiene;intra_european;4.9
68;Chemikalien;681;München;Berlin;2023-10-17;Klar;TRUE;504.42;Schiene;domestic_germany;7.4
69;Elektronik;240;Augsburg;Hagen;2023-12-29;Sturm;FALSE;413.22;Straße;domestic_germany;5.1
70;Rohstoffe;873;Dubai;Braunschweig;2023-07-31;Klar;TRUE;4793.7;Luft;intercontinental;21.6
71;Elektronik;293;Houston;Lyon;2023-05-03;Klar;FALSE;8408.65;Luft;intercontinental;27.6
72;Rohstoffe;221;Osnabrück;Brasilia;2023-09-29;Sturm;FALSE;9277.74;Luft;intercontinental;45.2
73;Bauteile;786;Nürnberg;New York;2023-10-15;Sturm;TRUE;6389.38;Luft;intercontinental;40.5
74;Chemikalien;634;München;Chemnitz;2023-11-16;Nebel;FALSE;315.12;Luft;domestic_germany;4.5
75;Rohstoffe;246;Braunschweig;Dresden;2023-10-25;Schnee;FALSE;259.9;Schiene;domestic_germany;1.0
76;Rohstoffe;942;Chemnitz;Oberhausen;2023-01-28;Klar;FALSE;427.78;Schiene;domestic_germany;4.9
77;Elektronik;306;Tokyo;Gelsenkirchen;2023-05-04;Schnee;FALSE;9275.25;Luft;intercontinental;44.3
78;Bauteile;757;Brasilia;Houston;2023-08-25;Klar;FALSE;7175.44;Luft;intercontinental;22.0
79;Chemikalien;547;Karlsruhe;Brisbane;2023-07-29;Klar;FALSE;16162.94;Luft;intercontinental;50.1
80;Fertigprodukte;663;Hamburg;Hamm;2023-12-22;Schnee;FALSE;254.58;Schiene;domestic_germany;5.5
81;Rohstoffe;317;Duisburg;Wiesbaden;2023-11-16;Schnee;FALSE;182.14;Straße;domestic_germany;6.4
82;Fertigprodukte;973;Krefeld;Hamm;2023-12-21;Sturm;FALSE;93.4;Straße;domestic_germany;6.9
83;Rohstoffe;664;Houston;Moscow;2023-09-25;Schnee;TRUE;9514.91;Luft;intercontinental;59.7
84;Chemikalien;554;Manchester;Chicago;2023-07-26;Regnerisch;FALSE;6127.09;Luft;intercontinental;23.5
85;Bauteile;618;Mumbai;Lübeck;2023-05-16;Sturm;FALSE;6494.08;Luft;intercontinental;29.3
86;Chemikalien;712;Tokyo;München;2023-02-22;Klar;FALSE;9369.07;Luft;intercontinental;28.0
87;Rohstoffe;103;Miami;Rio de Janeiro;2023-04-25;Schnee;TRUE;6721.6;See;intercontinental;169.7
88;Bauteile;922;Köln;Kiel;2023-04-04;Sturm;FALSE;432.67;Schiene;domestic_germany;5.6
89;Chemikalien;80;Brisbane;Brisbane;2023-08-26;Schnee;FALSE;11.57;Luft;intercontinental;9.5
90;Elektronik;329;Bonn;Münster;2023-06-16;Regnerisch;TRUE;141.01;Straße;domestic_germany;6.3
91;Bauteile;734;Leipzig;Wiesbaden;2023-11-07;Schnee;FALSE;323.18;Luft;domestic_germany;5.5
92;Bauteile;343;Krefeld;Shanghai;2023-09-18;Regnerisch;FALSE;8854.21;Luft;intercontinental;28.7
93;Bauteile;670;Osaka;Paris;2023-02-06;Nebel;FALSE;9633.59;Luft;intercontinental;34.4
94;Chemikalien;195;Krefeld;Nürnberg;2023-12-26;Schnee;FALSE;381.23;Straße;domestic_germany;10.2
95;Fertigprodukte;140;Osnabrück;Rio de Janeiro;2023-10-18;Schnee;FALSE;9720.26;Luft;intercontinental;39.2
96;Rohstoffe;147;Leverkusen;Beijing;2023-11-16;Sturm;FALSE;7807.59;Luft;intercontinental;33.2
97;Chemikalien;522;Paris;Osnabrück;2023-03-16;Nebel;FALSE;553.54;Schiene;intra_european;4.1
98;Bauteile;944;Mannheim;Houston;2023-12-31;Klar;FALSE;8446.91;Luft;intercontinental;27.4
99;Fertigprodukte;430;Münster;Magdeburg;2023-10-21;Schnee;FALSE;274.09;Straße;domestic_germany;6.5
100;Rohstoffe;199;Darmstadt;Sao Paulo;2023-12-10;Schnee;TRUE;9810.28;Luft;intercontinental;58.7
101;Bauteile;443;Krefeld;Shanghai;2023-11-15;Schnee;TRUE;8854.21;Luft;intercontinental;48.3
102;Fertigprodukte;290;Nürnberg;Miami;2023-03-24;Sturm;FALSE;7950.49;Luft;intercontinental;36.2
103;Fertigprodukte;444;Kiel;Manchester;2023-09-04;Regnerisch;FALSE;814.42;Schiene;intra_european;6.2
104;Chemikalien;920;Heidelberg;Saarbrücken;2023-07-25;Regnerisch;FALSE;124.05;Schiene;domestic_germany;4.9
105;Chemikalien;702;Mexico City;Saarbrücken;2023-02-21;Schnee;TRUE;9491.77;Luft;intercontinental;56.2
106;Chemikalien;376;Paris;Brasilia;2023-10-29;Regnerisch;FALSE;8725.99;Luft;intercontinental;29.8
107;Chemikalien;929;Mannheim;Chemnitz;2023-06-16;Klar;FALSE;350.51;Straße;domestic_germany;3.0
108;Elektronik;831;Brisbane;Herne;2023-08-17;Nebel;FALSE;16107.18;Luft;intercontinental;55.1
109;Chemikalien;134;Guangzhou;Erfurt;2023-01-20;Regnerisch;FALSE;8838.12;Luft;intercontinental;26.0
110;Bauteile;118;München;Münster;2023-06-29;Regnerisch;FALSE;510.46;Luft;domestic_germany;5.9
111;Chemikalien;209;Düsseldorf;Shanghai;2023-10-23;Nebel;FALSE;8851.45;Luft;intercontinental;30.8
112;Fertigprodukte;612;Beijing;Houston;2023-09-02;Klar;FALSE;11602.19;Luft;intercontinental;32.9
113;Elektronik;998;Melbourne;Nürnberg;2023-06-29;Regnerisch;FALSE;16153.8;Luft;intercontinental;51.6
114;Rohstoffe;502;Bochum;Aachen;2023-04-11;Regnerisch;FALSE;111.49;Schiene;domestic_germany;1.1
115;Bauteile;53;Bonn;Augsburg;2023-02-05;Nebel;FALSE;379.9;Straße;domestic_germany;8.7
116;Chemikalien;940;Lübeck;Dubai;2023-12-25;Regnerisch;TRUE;4850.31;See;intercontinental;87.4
117;Chemikalien;279;Chemnitz;Düsseldorf;2023-12-09;Nebel;FALSE;431.71;Schiene;domestic_germany;8.0
118;Fertigprodukte;3;Stuttgart;Toronto;2023-10-05;Klar;TRUE;6440.24;Luft;intercontinental;26.7
119;Chemikalien;768;Houston;Toronto;2023-11-07;Sturm;FALSE;2094.29;Luft;intercontinental;20.0
120;Rohstoffe;762;Gelsenkirchen;Tokyo;2023-10-29;Regnerisch;FALSE;9275.25;Luft;intercontinental;34.2
121;Elektronik;496;Magdeburg;Lyon;2023-07-22;Nebel;FALSE;862.69;Schiene;intra_european;9.4
122;Bauteile;142;Osnabrück;Melbourne;2023-12-01;Nebel;TRUE;16337.27;Luft;intercontinental;71.5
123;Rohstoffe;171;München;Birmingham;2023-04-24;Sturm;FALSE;1069.81;Schiene;intra_european;10.4
124;Rohstoffe;727;Moscow;Osnabrück;2023-02-25;Nebel;FALSE;1954.21;Luft;intercontinental;11.1
125;Bauteile;479;Freiburg im Breisgau;Sao Paulo;2023-12-24;Nebel;FALSE;9628.25;Luft;intercontinental;35.3
126;Elektronik;938;Lübeck;Rio de Janeiro;2023-01-26;Klar;TRUE;9969.37;See;intercontinental;167.2
127;Fertigprodukte;961;Hamburg;Saarbrücken;2023-09-17;Regnerisch;FALSE;523.01;Schiene;domestic_germany;5.7
128;Chemikalien;572;Heidelberg;Darmstadt;2023-10-13;Regnerisch;FALSE;51.81;Straße;domestic_germany;3.2
129;Elektronik;510;Stuttgart;Mannheim;2023-03-16;Schnee;FALSE;94.78;Straße;domestic_germany;6.5
130;Elektronik;513;Frankfurt;Birmingham;2023-11-10;Nebel;FALSE;780.2;Schiene;intra_european;5.8
131;Bauteile;623;Leverkusen;Braunschweig;2023-05-23;Sturm;FALSE;279.18;Schiene;domestic_germany;4.4
132;Rohstoffe;841;London;Nürnberg;2023-11-23;Nebel;FALSE;824.16;Schiene;intra_european;7.6
133;Chemikalien;253;München;Chicago;2023-07-25;Regnerisch;FALSE;7262.97;Luft;intercontinental;23.4
134;Rohstoffe;367;Bonn;Birmingham;2023-01-12;Regnerisch;FALSE;649.91;Schiene;intra_european;9.0
135;Chemikalien;764;Chicago;Köln;2023-11-25;Schnee;FALSE;6812.24;Luft;intercontinental;31.5
136;Chemikalien;17;Mönchengladbach;Mainz;2023-12-17;Schnee;FALSE;185.51;Luft;domestic_germany;4.4
137;Elektronik;982;Brasilia;Birmingham;2023-11-22;Schnee;FALSE;8782.66;Luft;intercontinental;46.6
138;Bauteile;184;Chicago;Osaka;2023-04-15;Sturm;TRUE;10433.45;Luft;intercontinental;57.8
139;Elektronik;435;Hamburg;Bielefeld;2023-01-29;Sturm;FALSE;196.38;Straße;domestic_germany;3.3
140;Rohstoffe;775;Osaka;Heidelberg;2023-04-25;Regnerisch;FALSE;9294.67;Luft;intercontinental;27.6
141;Fertigprodukte;334;Aachen;Wiesbaden;2023-06-23;Klar;FALSE;170.61;Straße;domestic_germany;4.5
142;Elektronik;174;Nürnberg;Sydney;2023-08-03;Nebel;FALSE;16335.01;Luft;intercontinental;55.7
143;Rohstoffe;381;Brasilia;Augsburg;2023-10-20;Sturm;FALSE;9192.15;Luft;intercontinental;40.7
144;Rohstoffe;542;Sao Paulo;Saarbrücken;2023-01-18;Regnerisch;FALSE;9674.05;Luft;intercontinental;31.3
145;Bauteile;116;Mannheim;Magdeburg;2023-12-23;Klar;FALSE;367.46;Luft;domestic_germany;6.4
146;Rohstoffe;197;Bonn;Magdeburg;2023-01-26;Regnerisch;FALSE;349.57;Schiene;domestic_germany;6.4
147;Rohstoffe;10;Augsburg;Wiesbaden;2023-08-21;Schnee;TRUE;271.46;Luft;domestic_germany;3.1
148;Elektronik;710;Mumbai;Wiesbaden;2023-08-12;Regnerisch;FALSE;6595.2;Luft;intercontinental;27.7
149;Elektronik;654;Saarbrücken;Osnabrück;2023-03-30;Schnee;FALSE;346.64;Luft;domestic_germany;5.1
150;Fertigprodukte;987;Stuttgart;Nürnberg;2023-03-28;Klar;FALSE;157.01;Schiene;domestic_germany;3.0
151;Bauteile;994;Nürnberg;Krefeld;2023-02-05;Regnerisch;FALSE;381.23;Schiene;domestic_germany;5.6
152;Fertigprodukte;869;Brisbane;Hamm;2023-11-14;Schnee;FALSE;16063.0;Luft;intercontinental;74.9
153;Rohstoffe;632;Osnabrück;Rio de Janeiro;2023-05-03;Nebel;FALSE;9720.26;Luft;intercontinental;36.2
154;Bauteile;658;Brisbane;Erfurt;2023-05-26;Schnee;FALSE;15899.98;Luft;intercontinental;64.6
155;Bauteile;415;Bochum;Braunschweig;2023-12-28;Schnee;FALSE;243.16;Luft;domestic_germany;2.9
156;Fertigprodukte;128;Hannover;Tokyo;2023-06-12;Nebel;FALSE;9088.88;Luft;intercontinental;31.7
157;Chemikalien;28;Leipzig;Karlsruhe;2023-12-30;Schnee;TRUE;383.56;Schiene;domestic_germany;5.8
158;Chemikalien;542;Lübeck;Karlsruhe;2023-03-18;Klar;FALSE;562.87;Luft;domestic_germany;1.0
159;Chemikalien;727;Chemnitz;Brisbane;2023-03-22;Klar;FALSE;15785.29;Luft;intercontinental;52.5
160;Bauteile;451;Bochum;Toronto;2023-08-29;Schnee;FALSE;6168.15;Luft;intercontinental;29.7
161;Rohstoffe;733;Mexico City;Kiel;2023-02-11;Regnerisch;FALSE;9440.56;Luft;intercontinental;27.4
162;Chemikalien;244;Guangzhou;Mexico City;2023-12-28;Klar;FALSE;14119.97;Luft;intercontinental;43.0
163;Fertigprodukte;542;Erfurt;Stuttgart;2023-06-12;Schnee;FALSE;278.37;Straße;domestic_germany;5.3
164;Fertigprodukte;794;Mumbai;London;2023-10-31;Nebel;FALSE;7191.7;Luft;intercontinental;24.5
165;Rohstoffe;892;Birmingham;Osaka;2023-08-15;Schnee;FALSE;9478.3;Luft;intercontinental;46.0
166;Rohstoffe;459;Miami;Osaka;2023-08-10;Sturm;FALSE;12312.83;Luft;intercontinental;51.8
167;Chemikalien;837;Wuppertal;Krefeld;2023-03-25;Nebel;FALSE;40.42;Straße;domestic_germany;5.7
168;Fertigprodukte;383;Birmingham;London;2023-10-02;Nebel;FALSE;162.5;Luft;intercontinental;7.7
169;Fertigprodukte;449;Kiel;Los Angeles;2023-12-01;Regnerisch;FALSE;9016.45;Luft;intercontinental;29.0
170;Bauteile;571;Tokyo;Chemnitz;2023-12-13;Klar;FALSE;9078.46;Luft;intercontinental;30.9
171;Rohstoffe;189;Hamm;Toronto;2023-11-15;Schnee;FALSE;6193.81;Luft;intercontinental;30.4
172;Fertigprodukte;192;Kassel;Mannheim;2023-10-28;Regnerisch;FALSE;216.07;Straße;domestic_germany;3.4
173;Chemikalien;27;Rostock;Rio de Janeiro;2023-03-10;Regnerisch;FALSE;10057.21;Luft;intercontinental;29.6
174;Elektronik;648;Chicago;Mainz;2023-01-06;Nebel;FALSE;6946.67;Luft;intercontinental;28.8
175;Elektronik;235;Osnabrück;Chicago;2023-10-15;Nebel;FALSE;6796.41;Luft;intercontinental;25.0
176;Bauteile;393;London;Düsseldorf;2023-10-05;Regnerisch;FALSE;479.93;Straße;intra_european;4.4
177;Chemikalien;960;Houston;Tokyo;2023-08-24;Klar;FALSE;10740.48;Luft;intercontinental;35.1
178;Rohstoffe;100;Osaka;Bonn;2023-04-19;Schnee;FALSE;9257.54;Luft;intercontinental;41.9
179;Chemikalien;931;Brasilia;Düsseldorf;2023-07-17;Klar;FALSE;9137.18;Luft;intercontinental;26.4
180;Elektronik;528;Augsburg;Solingen;2023-01-07;Sturm;FALSE;414.63;Schiene;domestic_germany;3.8
181;Elektronik;391;Kassel;Frankfurt;2023-09-01;Regnerisch;FALSE;145.77;Straße;domestic_germany;2.5
182;Fertigprodukte;732;Lübeck;Chicago;2023-12-22;Regnerisch;FALSE;6849.56;Luft;intercontinental;27.2
183;Rohstoffe;687;Düsseldorf;Wiesbaden;2023-05-28;Sturm;FALSE;163.65;Schiene;domestic_germany;6.7
184;Elektronik;524;Oberhausen;Berlin;2023-01-25;Sturm;FALSE;462.52;Schiene;domestic_germany;3.0
185;Elektronik;63;Bielefeld;Nürnberg;2023-09-26;Klar;FALSE;337.0;Straße;domestic_germany;6.0
186;Bauteile;843;Mexico City;London;2023-10-16;Klar;FALSE;8928.73;Luft;intercontinental;33.8
187;Fertigprodukte;141;Wiesbaden;Mönchengladbach;2023-03-30;Sturm;TRUE;176.99;Schiene;domestic_germany;7.3
188;Fertigprodukte;56;Brisbane;Stuttgart;2023-12-29;Sturm;FALSE;16121.97;Luft;intercontinental;65.3
189;Elektronik;480;Bonn;Los Angeles;2023-06-10;Klar;FALSE;9175.51;Luft;intercontinental;26.8
190;Fertigprodukte;343;Birmingham;Hannover;2023-11-13;Klar;FALSE;787.21;Schiene;intra_european;3.5
191;Rohstoffe;272;Hamburg;Chicago;2023-10-17;Nebel;FALSE;6830.33;Luft;intercontinental;25.6
192;Elektronik;71;Kiel;Halle (Saale);2023-02-03;Sturm;FALSE;339.23;Schiene;domestic_germany;6.3
193;Bauteile;764;Berlin;Mumbai;2023-12-22;Schnee;FALSE;6286.15;Luft;intercontinental;33.2
194;Rohstoffe;205;Wiesbaden;Sydney;2023-04-14;Klar;FALSE;16514.44;Luft;intercontinental;46.4
195;Fertigprodukte;454;Hannover;Darmstadt;2023-09-25;Schnee;FALSE;288.36;Schiene;domestic_germany;1.0
196;Bauteile;643;Solingen;Erfurt;2023-10-11;Klar;FALSE;276.45;Schiene;domestic_germany;4.3
197;Bauteile;708;Leverkusen;Stuttgart;2023-09-30;Regnerisch;FALSE;296.71;Luft;domestic_germany;1.0
198;Chemikalien;984;Stuttgart;Beijing;2023-02-23;Klar;FALSE;7846.03;Luft;intercontinental;27.8
199;Chemikalien;52;Miami;Lübeck;2023-12-14;Nebel;FALSE;7777.81;Luft;intercontinental;32.2
200;Bauteile;173;Tokyo;Frankfurt;2023-02-23;Sturm;FALSE;9331.39;Luft;intercontinental;40.5
201;Fertigprodukte;571;Sao Paulo;Chemnitz;2023-06-29;Regnerisch;FALSE;10111.81;Luft;intercontinental;34.4
202;Chemikalien;765;Herne;Rostock;2023-04-18;Sturm;FALSE;436.07;Schiene;domestic_germany;6.0
203;Chemikalien;951;Mönchengladbach;Sydney;2023-05-03;Nebel;FALSE;16594.8;Luft;intercontinental;54.8
204;Fertigprodukte;378;Stuttgart;Leverkusen;2023-05-24;Regnerisch;FALSE;296.71;Schiene;domestic_germany;1.0
205;Chemikalien;921;Leipzig;Herne;2023-09-02;Regnerisch;FALSE;358.0;Schiene;domestic_germany;6.3
206;Fertigprodukte;784;Chemnitz;London;2023-05-26;Regnerisch;TRUE;911.33;Luft;intra_european;9.8
207;Bauteile;386;Wiesbaden;Wiesbaden;2023-01-15;Sturm;FALSE;15.09;Straße;domestic_germany;4.3
208;Elektronik;547;Chemnitz;London;2023-01-05;Regnerisch;FALSE;911.33;Schiene;intra_european;7.9
209;Rohstoffe;747;Dubai;Manchester;2023-08-03;Klar;TRUE;5653.58;Luft;intercontinental;26.4
210;Bauteile;367;Moscow;London;2023-07-02;Schnee;FALSE;2500.54;Luft;intercontinental;15.2
211;Fertigprodukte;96;Darmstadt;Bielefeld;2023-05-06;Schnee;FALSE;239.02;Straße;domestic_germany;8.2
212;Elektronik;854;Köln;Wiesbaden;2023-12-19;Klar;FALSE;130.86;Schiene;domestic_germany;2.8
213;Rohstoffe;384;Hagen;Moscow;2023-05-19;Schnee;FALSE;2032.83;Luft;intercontinental;11.5
214;Rohstoffe;89;Dresden;Duisburg;2023-06-07;Sturm;FALSE;486.94;Straße;domestic_germany;4.5
215;Chemikalien;417;Kiel;Mönchengladbach;2023-03-15;Klar;FALSE;426.94;Schiene;domestic_germany;7.1
216;Elektronik;421;Münster;Mönchengladbach;2023-09-27;Nebel;FALSE;118.33;Schiene;domestic_germany;3.5
217;Rohstoffe;275;Herne;Krefeld;2023-11-20;Schnee;FALSE;48.84;Straße;domestic_germany;1.0
218;Elektronik;615;Magdeburg;London;2023-12-31;Sturm;FALSE;810.07;Luft;intra_european;7.7
219;Rohstoffe;409;Birmingham;Darmstadt;2023-03-19;Schnee;FALSE;789.27;Luft;intra_european;2.5
220;Elektronik;241;Wuppertal;Freiburg im Breisgau;2023-08-11;Sturm;FALSE;365.59;Schiene;domestic_germany;9.3
221;Bauteile;82;Mumbai;Bonn;2023-03-05;Klar;FALSE;6683.3;Luft;intercontinental;24.3
222;Bauteile;754;Mülheim an der Ruhr;Hamm;2023-06-23;Regnerisch;FALSE;70.22;Schiene;domestic_germany;2.5
223;Bauteile;109;Toronto;Krefeld;2023-03-09;Schnee;FALSE;6137.28;Luft;intercontinental;31.9
224;Rohstoffe;459;Nürnberg;Brasilia;2023-04-23;Klar;FALSE;9270.03;Luft;intercontinental;28.9
225;Rohstoffe;60;Berlin;Chicago;2023-09-13;Schnee;FALSE;7083.44;Luft;intercontinental;32.8
226;Bauteile;196;Tokyo;London;2023-06-18;Schnee;TRUE;9558.56;Luft;intercontinental;51.8
227;Chemikalien;418;Dresden;Augsburg;2023-11-29;Sturm;FALSE;361.17;Luft;domestic_germany;1.3
228;Chemikalien;738;Birmingham;München;2023-07-07;Schnee;FALSE;1069.81;Luft;intra_european;3.4
229;Elektronik;649;London;Mannheim;2023-03-12;Schnee;FALSE;647.55;Luft;intra_european;1.6
230;Fertigprodukte;971;Miami;Sao Paulo;2023-02-06;Schnee;FALSE;6565.78;Luft;intercontinental;32.7
231;Chemikalien;136;Shanghai;Mainz;2023-04-09;Klar;FALSE;8850.4;Luft;intercontinental;30.6
232;Chemikalien;378;Birmingham;Birmingham;2023-07-09;Regnerisch;FALSE;15.3;Luft;intercontinental;4.4
233;Fertigprodukte;260;Brisbane;Osnabrück;2023-05-11;Sturm;FALSE;16016.28;Luft;intercontinental;68.9
234;Bauteile;757;Mainz;Dresden;2023-04-01;Klar;FALSE;403.57;Straße;domestic_germany;5.2
